A,B,C,OD,l,epsilon_r,maxFreq,middleFreq
0.025,0.02,0.008,0.06,0.008,2.1,9.91755092030554,2.90828445443386
0.035,0.02,0.008,0.06,0.008,2.1,4.95877546015277,2.31592246244736
0.03,0.02,0.008,0.06,0.008,2.1,4.59886433804491,2.42013576941185
0.04,0.02,0.008,0.06,0.008,2.1,4.4389038393303,2.13672544233582
0.02,0.015,0.009,0.06,0.008,2.1,9.91757067122894,3.3548845948431
0.025,0.015,0.009,0.06,0.008,2.1,9.91757067122894,3.3548845948431
0.03,0.015,0.009,0.06,0.008,2.1,3.03925552827984,1.86866664324556
0.035,0.015,0.009,0.06,0.008,2.1,4.67885390537817,2.02472387450728
0.04,0.015,0.009,0.06,0.008,2.1,2.79931430236301,1.67077168999398
0.02,0.0175,0.009,0.06,0.008,2.1,9.91757067122894,3.3548845948431
0.025,0.0175,0.009,0.06,0.008,2.1,9.91757067122894,3.3548845948431
0.03,0.0175,0.009,0.06,0.008,2.1,3.59911838875244,2.13823381452292
0.035,0.0175,0.009,0.06,0.008,2.1,3.31918695851614,1.89875522748503
0.04,0.0175,0.009,0.06,0.008,2.1,3.27919675419667,1.64223105518373
0.02,0.02,0.009,0.06,0.008,2.1,9.91757067122894,3.3548845948431
0.025,0.02,0.009,0.06,0.008,2.1,9.91757067122894,3.3548845948431
0.03,0.02,0.009,0.06,0.008,2.1,4.47890288378081,2.5871864683724
0.035,0.02,0.009,0.06,0.008,2.1,4.67885390537817,2.45782160326996
0.04,0.02,0.009,0.06,0.008,2.1,4.19897145354451,1.89701713087447
0.02,0.015,0.01,0.06,0.008,2.1,9.91757067122894,2.32573985770547
0.025,0.015,0.01,0.06,0.008,2.1,9.91757067122894,2.32573985770547
0.035,0.015,0.01,0.06,0.008,2.1,4.3589322708224,1.54193185895098
0.03,0.015,0.01,0.06,0.008,2.1,2.99926532396036,1.44232901114886
0.04,0.015,0.01,0.06,0.008,2.1,3.91904002330821,1.50378477479073
0.02,0.0175,0.01,0.06,0.008,2.1,9.91757067122894,2.32573985770547
0.025,0.0175,0.01,0.06,0.008,2.1,9.91757067122894,2.32573985770547
0.03,0.0175,0.01,0.06,0.008,2.1,4.83881472265606,1.84924020509739
0.035,0.0175,0.01,0.06,0.008,2.1,4.3589322708224,1.7286650956634
0.04,0.0175,0.01,0.06,0.008,2.1,3.23920654987719,1.48081524014102
0.02,0.02,0.01,0.06,0.008,2.1,9.91757067122894,2.32573985770547
0.025,0.02,0.01,0.06,0.008,2.1,9.91757067122894,2.32573985770547
0.03,0.02,0.01,0.06,0.008,2.1,4.43891267946134,1.85918457079554
0.035,0.02,0.01,0.06,0.008,2.1,4.39892247514187,1.79035364107748
0.02,0.015,0.008,0.06,0.004,2.8,9.91749166800733,3.09929334227365
0.04,0.02,0.01,0.06,0.008,2.1,3.99902043194715,1.6595627579168
0.025,0.015,0.008,0.06,0.004,2.8,9.91749166800733,3.09929334227365
0.03,0.015,0.008,0.06,0.004,2.8,3.03923131761515,1.26308126302439
0.035,0.015,0.008,0.06,0.004,2.8,2.91926166034087,1.62761731367725
0.04,0.015,0.008,0.06,0.004,2.8,2.87927177458277,1.43397895915633
0.02,0.0175,0.008,0.06,0.004,2.8,9.91749166800733,3.09929334227365
0.025,0.0175,0.008,0.06,0.004,2.8,9.91749166800733,3.09929334227365
0.035,0.0175,0.008,0.06,0.004,2.8,4.7188065194551,2.00635312130588
0.03,0.0175,0.008,0.06,0.004,2.8,3.63907960398656,1.99459816375625
0.04,0.0175,0.008,0.06,0.004,2.8,3.399140289438,1.80881559770287
0.02,0.02,0.008,0.06,0.004,2.8,9.91749166800733,3.09929334227365
0.025,0.02,0.008,0.06,0.004,2.8,9.91749166800733,3.09929334227365
0.03,0.02,0.008,0.06,0.004,2.8,4.59883686218082,2.42114143551143
0.035,0.02,0.008,0.06,0.004,2.8,4.39888743339035,2.23530259766248
0.02,0.015,0.009,0.06,0.004,2.8,9.91751141869473,3.04283671869298
0.04,0.02,0.008,0.06,0.004,2.8,4.91875594824557,2.19627274016388
0.03,0.015,0.009,0.06,0.004,2.8,3.03923737024516,1.65578066113101
0.025,0.015,0.009,0.06,0.004,2.8,9.91751141869473,3.04283671869298
0.035,0.015,0.009,0.06,0.004,2.8,2.91926747405127,1.5783455401985
0.04,0.015,0.009,0.06,0.004,2.8,2.79929757785738,1.52056050275123
0.02,0.0175,0.009,0.06,0.004,2.8,9.91751141869473,3.04283671869298
0.025,0.0175,0.009,0.06,0.004,2.8,9.91751141869473,3.04283671869298
0.02,0.02,0.009,0.06,0.004,2.8,9.91751141869473,3.04283671869298
0.035,0.0175,0.009,0.06,0.004,2.8,3.35915709342886,1.86177525352806
0.03,0.0175,0.009,0.06,0.004,2.8,3.59909688581664,1.77062453976033
0.04,0.0175,0.009,0.06,0.004,2.8,3.3191671280309,1.78616430157054
0.025,0.02,0.009,0.06,0.004,2.8,9.91751141869473,3.04283671869298
0.035,0.02,0.009,0.06,0.004,2.8,4.11896643599015,2.13313281227363
0.03,0.02,0.009,0.06,0.004,2.8,4.39889619377589,2.35229246176844
0.04,0.02,0.009,0.06,0.004,2.8,4.5988460207657,2.11970299794723
0.02,0.015,0.01,0.06,0.004,2.8,9.9175311694608,2.60461688955045
0.025,0.015,0.01,0.06,0.004,2.8,9.9175311694608,2.60461688955045
